Timeline Trace
Generated on: 2021-04-29 16:39:53
Msec since Epoch: 1619714393182
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
16.5368,clGetPlatformIDs|General,START,,,,,,,,,,,0,
16.67678,clGetPlatformIDs|General,END,,,,,,,,,,,0,
16.71972,clGetPlatformIDs|General,START,,,,,,,,,,,1,
16.74651,clGetPlatformIDs|General,END,,,,,,,,,,,1,
16.77589,clGetPlatformInfo|General,START,,,,,,,,,,,2,
16.80225,clGetPlatformInfo|General,END,,,,,,,,,,,2,
16.82334,clGetPlatformInfo|General,START,,,,,,,,,,,3,
16.8454,clGetPlatformInfo|General,END,,,,,,,,,,,3,
16.9886,clGetDeviceIDs|General,START,,,,,,,,,,,4,
17.02174,clGetDeviceIDs|General,END,,,,,,,,,,,4,
17.04322,clGetDeviceIDs|General,START,,,,,,,,,,,5,
17.06468,clGetDeviceIDs|General,END,,,,,,,,,,,5,
17.09077,clRetainDevice|General,START,,,,,,,,,,,6,
17.11407,clRetainDevice|General,END,,,,,,,,,,,6,
17.13513,clRetainDevice|General,START,,,,,,,,,,,7,
17.15567,clRetainDevice|General,END,,,,,,,,,,,7,
17.18029,clCreateContext|General,START,,,,,,,,,,,8,
29.19022,clCreateContext|General,END,,,,,,,,,,,8,
46.58479,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
127.93008,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
128.04511,clCreateCommandQueue|General,START,,,,,,,,,,,10,
128.09985,clCreateCommandQueue|General,END,,,,,,,,,,,10,
128.12745,clCreateKernel|General,START,,,,,,,,,,,11,
131.9356,clCreateKernel|General,END,,,,,,,,,,,11,
131.97457,clCreateBuffer|General,START,,,,,,,,,,,12,
145.98662,clCreateBuffer|General,END,,,,,,,,,,,12,
146.02351,clCreateBuffer|General,START,,,,,,,,,,,13,
151.97712,clCreateBuffer|General,END,,,,,,,,,,,13,
152.00602,clCreateBuffer|General,START,,,,,,,,,,,14,
152.06829,clCreateBuffer|General,END,,,,,,,,,,,14,
152.10879,clEnqueueMapBuffer|187651751753632,START,,,,,,,,,,,15,
