Timeline Trace
Generated on: 2021-04-29 11:46:00
Msec since Epoch: 1619696760602
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
16.99796,clGetPlatformIDs|General,START,,,,,,,,,,,0,
17.11069,clGetPlatformIDs|General,END,,,,,,,,,,,0,
17.1505,clGetPlatformIDs|General,START,,,,,,,,,,,1,
17.17609,clGetPlatformIDs|General,END,,,,,,,,,,,1,
17.2042,clGetPlatformInfo|General,START,,,,,,,,,,,2,
17.23036,clGetPlatformInfo|General,END,,,,,,,,,,,2,
17.25217,clGetPlatformInfo|General,START,,,,,,,,,,,3,
17.27421,clGetPlatformInfo|General,END,,,,,,,,,,,3,
17.38471,clGetDeviceIDs|General,START,,,,,,,,,,,4,
17.41816,clGetDeviceIDs|General,END,,,,,,,,,,,4,
17.43946,clGetDeviceIDs|General,START,,,,,,,,,,,5,
17.46074,clGetDeviceIDs|General,END,,,,,,,,,,,5,
17.48828,clRetainDevice|General,START,,,,,,,,,,,6,
17.5119,clRetainDevice|General,END,,,,,,,,,,,6,
17.53217,clRetainDevice|General,START,,,,,,,,,,,7,
17.5529,clRetainDevice|General,END,,,,,,,,,,,7,
17.57728,clCreateContext|General,START,,,,,,,,,,,8,
30.07754,clCreateContext|General,END,,,,,,,,,,,8,
47.11396,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
128.99526,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
129.10847,clCreateCommandQueue|General,START,,,,,,,,,,,10,
129.16236,clCreateCommandQueue|General,END,,,,,,,,,,,10,
129.19013,clCreateKernel|General,START,,,,,,,,,,,11,
133.03516,clCreateKernel|General,END,,,,,,,,,,,11,
133.07436,clCreateBuffer|General,START,,,,,,,,,,,12,
147.34,clCreateBuffer|General,END,,,,,,,,,,,12,
147.37859,clCreateBuffer|General,START,,,,,,,,,,,13,
153.38394,clCreateBuffer|General,END,,,,,,,,,,,13,
153.4133,clCreateBuffer|General,START,,,,,,,,,,,14,
153.46349,clCreateBuffer|General,END,,,,,,,,,,,14,
153.48718,clCreateBuffer|General,START,,,,,,,,,,,15,
153.5436,clCreateBuffer|General,END,,,,,,,,,,,15,
153.58565,clEnqueueMapBuffer|187651504049376,START,,,,,,,,,,,16,
154.18933,clEnqueueMapBuffer|187651504049376,END,,,,,,,,,,,16,
154.22206,clEnqueueMapBuffer|187651504049376,START,,,,,,,,,,,17,
154.28615,clEnqueueMapBuffer|187651504049376,END,,,,,,,,,,,17,
5899.5649,clEnqueueWriteBuffer|187651504049376,START,,,,,,,,,,,18,
5899.95356,clEnqueueWriteBuffer|187651504049376,END,,,,,,,,,,,18,
5899.98891,clEnqueueWriteBuffer|187651504049376,START,,,,,,,,,,,19,
5900.15722,clEnqueueWriteBuffer|187651504049376,END,,,,,,,,,,,19,
5900.19128,clSetKernelArg|General,START,,,,,,,,,,,20,
5900.23858,clSetKernelArg|General,END,,,,,,,,,,,20,
5900.26017,clSetKernelArg|General,START,,,,,,,,,,,21,
5900.28304,clSetKernelArg|General,END,,,,,,,,,,,21,
5900.30302,clSetKernelArg|General,START,,,,,,,,,,,22,
5900.32773,clSetKernelArg|General,END,,,,,,,,,,,22,
5900.34876,clSetKernelArg|General,START,,,,,,,,,,,23,
5900.37145,clSetKernelArg|General,END,,,,,,,,,,,23,
5900.392,clSetKernelArg|General,START,,,,,,,,,,,24,
5900.41503,clSetKernelArg|General,END,,,,,,,,,,,24,
5900.44561,clRetainMemObject|General,START,,,,,,,,,,,25,
5900.47295,clRetainMemObject|General,END,,,,,,,,,,,25,
5900.49463,clRetainMemObject|General,START,,,,,,,,,,,26,
5900.51662,clRetainMemObject|General,END,,,,,,,,,,,26,
5900.54175,clEnqueueMigrateMemObjects|187651504049376,START,,,,,,,,,,,27,
5900.61509,WRITE_BUFFER,QUEUE,0X5fc80000|HP0,100000,,,,,,,,,
5900.66666,WRITE_BUFFER,SUBMIT,0X5fc80000|HP0,100000,,,,,,,,,
5900.70207,clEnqueueMigrateMemObjects|187651504049376,END,,,,,,,,,,,27,
5900.73401,clReleaseMemObject|General,START,,,,,,,,,,,28,
5900.73884,WRITE_BUFFER,START,0X5fc80000|HP0|0Xffffaa079170,100000,,,,,,,4,None,
5900.76298,clReleaseMemObject|General,END,,,,,,,,,,,28,
5900.84001,clReleaseMemObject|General,START,,,,,,,,,,,29,
5900.86406,clReleaseMemObject|General,END,,,,,,,,,,,29,
5900.89165,clWaitForEvents|General,START,,,,,,,,,,,30,
5901.10345,WRITE_BUFFER,END,0X5fc80000|HP0|0Xffffaa079170,100000,,,,,,,4,None,
5901.17059,clWaitForEvents|General,END,,,,,,,,,,,30,
5901.1994,clEnqueueTask|187651504049376,START,,,,,,,,,,,31,
5901.28161,DEPENDENCY_EVENT,,5,6,
